Timestamp	Rule	ID	Consequent	FPR	G-Mean	WRAcc_Norm(Diversity)
1.000000	0	-604440509	class1	0.000934	0.202685	0.520093
1.000000	1	-703319192	class2	0.000431	0.056331	0.501372
2.000000	0	-1634674045	class1	0.000560	0.146013	0.510386
2.000000	1	1937695894	class2	0.001508	0.061044	0.501112
3.000000	0	1543021245	class1	0.000555	0.148298	0.510725
3.000000	1	-2029134594	class2	0.008497	0.114872	0.502406
4.000000	0	-1506629949	class1	0.005109	0.124127	0.505189
4.000000	1	1701094305	class1	0.000000	0.033260	0.500553
4.000000	2	753594756	class2	0.000000	0.086497	0.503741
5.000000	0	-1143676965	class1	0.001679	0.058679	0.500885
5.000000	1	-19260732	class2	0.002156	0.063991	0.500974
6.000000	0	-841922621	class1	0.082622	0.450556	0.569331
6.000000	1	-163125233	class1	0.475863	0.524747	0.524747
6.000000	2	-909272125	class1	0.003342	0.204708	0.519352
6.000000	3	-1124630860	class2	0.000000	0.078275	0.503063
6.000000	4	491773428	class2	0.002818	0.108854	0.504533
6.000000	5	1998866216	class2	0.001517	0.097235	0.503976
7.000000	0	-903725233	class1	0.003839	0.204405	0.519052
7.000000	1	-547916732	class2	0.007726	0.099886	0.501164
7.000000	2	-2094276784	class2	0.020088	0.157800	0.502662
8.000000	0	-422255269	class1	0.003535	0.065643	0.500395
8.000000	1	-1212197424	class2	0.006270	0.182424	0.513609
9.000000	0	420571489	class1	0.000927	0.064204	0.501600
9.000000	1	1477915920	class2	0.001737	0.130473	0.507658
10.000000	0	318791799	class1	0.002594	0.041635	0.499572
10.000000	1	1885893176	class2	0.102325	0.398761	0.537405
10.000000	2	934235164	class2	0.467738	0.519356	0.519512
10.000000	3	-1162666684	class2	0.007169	0.181463	0.512999
10.000000	4	1901974224	class2	0.064958	0.276100	0.508285
10.000000	5	-1453515888	class2	0.003259	0.052633	0.499760
10.000000	6	-1090692784	class2	0.253313	0.434410	0.499710
10.000000	7	-1221628848	class2	0.252661	0.421498	0.492532
11.000000	0	-569976125	class1	0.003344	0.120249	0.505582
11.000000	1	-954440299	class1	0.035674	0.223867	0.508148
11.000000	2	-1467654321	class1	0.066704	0.269358	0.505518
11.000000	3	-173217288	class2	0.003032	0.126949	0.506567
11.000000	4	248467192	class2	0.016890	0.146191	0.502424
12.000000	0	493347623	class1	0.002619	0.063811	0.500732
12.000000	1	-1676649992	class2	0.002149	0.125215	0.506782
12.000000	2	-450339260	class2	0.006446	0.156033	0.509029
13.000000	0	185427099	class1	0.000000	0.025743	0.500331
13.000000	1	-2021203772	class2	0.024078	0.185513	0.505593
13.000000	2	878416552	class2	0.018555	0.140448	0.500772
13.000000	3	-74603992	class2	0.018997	0.141054	0.500642
13.000000	4	611280680	class2	0.121493	0.380507	0.521658
13.000000	5	1569232528	class2	0.493263	0.502022	0.502044
13.000000	6	1899798544	class2	0.504307	0.502054	0.502094
13.000000	7	-81983584	class2	0.000000	0.033110	0.500548
13.000000	8	1397630416	class2	0.237685	0.447853	0.512712
14.000000	0	-1157467103	class1	0.001105	0.099155	0.504369
14.000000	1	912585924	class2	0.243438	0.440792	0.506689
14.000000	2	-1744802352	class2	0.113298	0.288355	0.490237
14.000000	3	-1513984944	class2	0.002625	0.190740	0.516926
14.000000	4	1868512656	class2	0.052931	0.286974	0.517013
15.000000	0	967801051	class1	0.003002	0.065344	0.500640
15.000000	1	372938191	class1	0.257223	0.437607	0.500296
15.000000	2	-148529341	class1	0.071482	0.435066	0.566186
